AssignmentId,PersonId,ProjectId,ProjectRole,StartDate,EndDate,AllocationPercent,ContributionResult
AS0001,P062,PJ008,PM,2023-06-19,2024-01-01,20,目標達成
AS0002,P067,PJ008,AIエンジニア,2023-06-19,2024-01-01,100,課題あり
AS0003,P063,PJ008,テックリード,2023-06-19,2024-01-01,80,高評価
AS0004,P121,PJ008,インフラエンジニア,2023-06-19,2024-01-01,50,目標達成
AS0005,P196,PJ008,業務コンサルタント,2023-06-19,2024-01-01,20,課題あり
AS0006,P189,PJ008,アプリ開発,2023-06-19,2024-01-01,100,高評価
AS0007,P081,PJ008,品質管理,2023-06-19,2024-01-01,30,目標達成
AS0008,P051,PJ029,データエンジニア,2023-07-22,2024-06-03,80,目標達成
AS0009,P170,PJ029,PM,2023-07-22,2024-06-03,30,目標達成
AS0010,P180,PJ029,テックリード,2023-07-22,2024-06-03,80,目標達成
AS0011,P009,PJ029,AIエンジニア,2023-07-22,2024-06-03,100,課題あり
AS0012,P075,PJ029,品質管理,2023-07-22,2024-06-03,30,課題あり
AS0013,P170,PJ014,アプリ開発,2023-08-26,2024-06-16,100,高評価
AS0014,P112,PJ014,アーキテクト,2023-08-26,2024-06-16,50,目標達成
AS0015,P155,PJ014,PM,2023-08-26,2024-06-16,20,高評価
AS0016,P027,PJ014,データエンジニア,2023-08-26,2024-06-16,80,高評価
AS0017,P006,PJ014,インフラエンジニア,2023-08-26,2024-06-16,30,高評価
AS0018,P115,PJ014,業務コンサルタント,2023-08-26,2024-06-16,20,高評価
AS0019,P001,PJ024,業務コンサルタント,2023-09-16,2024-09-05,20,目標達成
AS0020,P020,PJ024,アーキテクト,2023-09-16,2024-09-05,30,目標達成
AS0021,P009,PJ024,品質管理,2023-09-16,2024-09-05,30,目標達成
AS0022,P074,PJ024,AIエンジニア,2023-09-16,2024-09-05,100,課題あり
AS0023,P167,PJ024,PM,2023-09-16,2024-09-05,20,目標達成
AS0024,P195,PJ026,アーキテクト,2023-09-24,2024-05-30,20,目標達成
AS0025,P183,PJ026,アプリ開発,2023-09-24,2024-05-30,100,目標達成
AS0026,P105,PJ026,AIエンジニア,2023-09-24,2024-05-30,80,目標達成
AS0027,P059,PJ026,品質管理,2023-09-24,2024-05-30,20,課題あり
AS0028,P192,PJ026,テックリード,2023-09-24,2024-05-30,100,目標達成
AS0029,P121,PJ026,データエンジニア,2023-09-24,2024-05-30,80,課題あり
AS0030,P149,PJ026,インフラエンジニア,2023-09-24,2024-05-30,20,高評価
AS0031,P180,PJ026,業務コンサルタント,2023-09-24,2024-05-30,30,目標達成
AS0032,P086,PJ030,品質管理,2023-10-11,2024-05-22,20,高評価
AS0033,P187,PJ030,業務コンサルタント,2023-10-11,2024-05-22,50,課題あり
AS0034,P173,PJ030,アーキテクト,2023-10-11,2024-05-22,50,高評価
AS0035,P026,PJ030,アプリ開発,2023-10-11,2024-05-22,80,目標達成
AS0036,P155,PJ030,インフラエンジニア,2023-10-11,2024-05-22,20,課題あり
AS0037,P098,PJ030,AIエンジニア,2023-10-11,2024-05-22,100,課題あり
AS0038,P190,PJ038,アプリ開発,2023-12-30,2024-12-21,80,目標達成
AS0039,P062,PJ038,AIエンジニア,2023-12-30,2024-12-21,80,高評価
AS0040,P176,PJ038,インフラエンジニア,2023-12-30,2024-12-21,50,目標達成
AS0041,P103,PJ038,業務コンサルタント,2023-12-30,2024-12-21,30,目標達成
AS0042,P010,PJ038,品質管理,2023-12-30,2024-12-21,50,目標達成
AS0043,P195,PJ038,PM,2023-12-30,2024-12-21,50,課題あり
AS0044,P060,PJ038,データエンジニア,2023-12-30,2024-12-21,80,目標達成
AS0045,P017,PJ038,アーキテクト,2023-12-30,2024-12-21,30,目標達成
AS0046,P136,PJ036,PM,2024-01-19,2024-09-20,20,課題あり
AS0047,P013,PJ036,AIエンジニア,2024-01-19,2024-09-20,100,高評価
AS0048,P164,PJ036,アプリ開発,2024-01-19,2024-09-20,100,目標達成
AS0049,P173,PJ036,テックリード,2024-01-19,2024-09-20,100,課題あり
AS0050,P152,PJ036,インフラエンジニア,2024-01-19,2024-09-20,50,課題あり
AS0051,P015,PJ036,データエンジニア,2024-01-19,2024-09-20,100,目標達成
AS0052,P020,PJ018,アーキテクト,2024-02-14,2024-08-21,50,課題あり
AS0053,P003,PJ018,品質管理,2024-02-14,2024-08-21,50,目標達成
AS0054,P195,PJ018,PM,2024-02-14,2024-08-21,30,目標達成
AS0055,P050,PJ018,データエンジニア,2024-02-14,2024-08-21,100,目標達成
