OpportunityId,CustomerId,OpportunityName,SalesStage,ExpectedRevenueJPY,ExpectedCloseDate,RequiredSkillIds,OwnerPersonId
OP001,CU02,生成AIによる設計ナレッジ検索の全社展開,提案準備,195680000,2026-09-06,SK004;SK005;SK021,P088
OP002,CU03,Fabricによる品質データ統合分析,提案中,126580000,2026-09-27,SK001;SK014;SK021,P056
OP003,CU18,需要予測高度化 フェーズ2,最終交渉,43370000,2027-01-24,SK002;SK006;SK023,P016
OP004,CU22,生成AIによる審査業務支援,受注,206090000,2026-09-04,SK004;SK022,P056
OP005,CU26,自治体向けデータ利活用基盤,失注,254190000,2026-12-12,SK001;SK024,P137
OP006,CU10,配車最適化の全国展開,情報収集,237400000,2027-01-17,SK006;SK011,P114
OP007,CU27,設備投資シミュレーション本番化,提案準備,81270000,2027-01-01,SK002;SK006,P137
OP008,CU11,研究データ基盤のガバナンス強化,提案中,209870000,2026-09-18,SK015;SK001,P062
OP009,CU02,生産計画最適化のPoC,最終交渉,46290000,2026-11-23,SK006;SK021;SK011,P051
OP010,CU04,店舗需要予測の全店展開,受注,178140000,2026-12-16,SK002;SK023,P055
OP011,CU23,Fabricによるリスクデータ基盤整備,失注,272840000,2026-09-15,SK001;SK014;SK022,P108
OP012,CU08,行政文書の生成AI検索,情報収集,75000000,2026-11-12,SK004;SK005;SK024,P088
OP013,CU14,生産データ分析ツールの内製化支援,提案準備,187950000,2026-10-23,SK011;SK014;SK021,P170
