KnowledgeId,ProjectId,KnowledgeType,Title,Summary,Tags,AuthorPersonId,RegisteredDate,ReuseValue
KN0001,PJ001,BestPractice,[生成AIによる技能継承ナレッジ検索基盤構築] Fabric導入時はドメイン単位でワークスペースを分割し、容量監視を初期から組み込む,Fabric導入時はドメイン単位でワークスペースを分割し、容量監視を初期から組み込む,"Fabric,運用,容量",P124,2024-09-10,低
KN0002,PJ001,BestPractice,[生成AIによる技能継承ナレッジ検索基盤構築] 需要予測モデルは業務KPIと接続した評価指標を定義してから開発に着手する,需要予測モデルは業務KPIと接続した評価指標を定義してから開発に着手する,"機械学習,KPI,需要予測",P105,2024-09-17,中
KN0003,PJ002,BestPractice,[Microsoft Fabricによる全社データ基盤構築] モデルの評価指標は、業務KPIと結びつけた形で先に決めておく,モデルの評価指標は、業務KPIと結びつけた形で先に決めておく,"機械学習,KPI,需要予測",P192,2025-11-02,低
KN0004,PJ002,LessonsLearned,[Microsoft Fabricによる全社データ基盤構築] PoCで許容していたデータ欠損が本番では通らず、要件の再定義が発生した,PoCで許容していたデータ欠損が本番では通らず、要件の再定義が発生した,"データ品質,PoC,移行",P119,2025-10-15,高
KN0005,PJ002,Issue,[Microsoft Fabricによる全社データ基盤構築] IF仕様と実装の乖離に気づくのが遅れ、結合テストの工数が膨らんだ,IF仕様と実装の乖離に気づくのが遅れ、結合テストの工数が膨らんだ,"基幹,IF,テスト",P119,2025-12-14,高
KN0006,PJ003,Issue,[Databricksによる需要予測モデル開発] 権限まわりの設計が遅れ、検証環境をゼロから組み直す事態を招いた,権限まわりの設計が遅れ、検証環境をゼロから組み直す事態を招いた,"セキュリティ,Fabric,権限",P112,2025-09-04,低
KN0007,PJ003,BestPractice,[Databricksによる需要予測モデル開発] 出力の良し悪しを判断する基準を顧客と合意し、受入条件に落としておく,出力の良し悪しを判断する基準を顧客と合意し、受入条件に落としておく,"生成AI,受入,品質",P068,2025-07-10,高
KN0008,PJ003,Issue,[Databricksによる需要予測モデル開発] 既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,"基幹,IF,テスト",P094,2025-08-21,高
KN0009,PJ003,BestPractice,[Databricksによる需要予測モデル開発] 全社共通のルールだけでは使われず、部門別の手引きを添えて定着した,全社共通のルールだけでは使われず、部門別の手引きを添えて定着した,"生成AI,展開,定着",P097,2025-07-09,高
KN0010,PJ003,LessonsLearned,[Databricksによる需要予測モデル開発] データの持ち主が部門をまたいでおり、合意を取るまでに想定外の時間がかかった,データの持ち主が部門をまたいでおり、合意を取るまでに想定外の時間がかかった,"ガバナンス,合意形成",P068,2025-09-20,中
KN0011,PJ004,LessonsLearned,[生成AI活用による問い合わせ対応自動化] 現場用語の辞書整備が後手に回り、ナレッジ検索の精度が目標に届かなかった,現場用語の辞書整備が後手に回り、ナレッジ検索の精度が目標に届かなかった,"生成AI,製造,用語",P083,2026-01-04,高
KN0012,PJ004,BestPractice,[生成AI活用による問い合わせ対応自動化] 展開フェーズでは、部門の業務に合わせたガイドを個別に用意するとよい,展開フェーズでは、部門の業務に合わせたガイドを個別に用意するとよい,"生成AI,展開,定着",P070,2025-11-22,中
KN0013,PJ004,BestPractice,[生成AI活用による問い合わせ対応自動化] ドメインごとにワークスペースを分離しておくと、容量の管理が現実的になる,ドメインごとにワークスペースを分離しておくと、容量の管理が現実的になる,"Fabric,運用,容量",P093,2026-02-06,中
KN0014,PJ004,BestPractice,[生成AI活用による問い合わせ対応自動化] 生成AI案件では出力評価の基準表を顧客と合意し、受入条件に明記する,生成AI案件では出力評価の基準表を顧客と合意し、受入条件に明記する,"生成AI,受入,品質",P082,2025-12-03,中
KN0015,PJ004,LessonsLearned,[生成AI活用による問い合わせ対応自動化] 顧客側の合意形成にかかる期間を、当初の見積りの2倍で見ておくべきだった,顧客側の合意形成にかかる期間を、当初の見積りの2倍で見ておくべきだった,"ガバナンス,合意形成",P195,2025-11-22,低
KN0016,PJ005,BestPractice,[基幹システムのクラウドリフト] 生成AI案件では出力評価の基準表を顧客と合意し、受入条件に明記する,生成AI案件では出力評価の基準表を顧客と合意し、受入条件に明記する,"生成AI,受入,品質",P070,2025-01-23,低
KN0017,PJ005,LessonsLearned,[基幹システムのクラウドリフト] 現場用語の定義が曖昧なまま開発に入り、精度改善に想定外の工数がかかった,現場用語の定義が曖昧なまま開発に入り、精度改善に想定外の工数がかかった,"生成AI,製造,用語",P053,2025-02-16,中
KN0018,PJ006,Issue,[Power BIによる経営ダッシュボード整備] 既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,"基幹,IF,テスト",P073,2026-02-20,高
KN0019,PJ006,LessonsLearned,[Power BIによる経営ダッシュボード整備] データオーナーとの調整が想定以上に長引き、スケジュールを圧迫した,データオーナーとの調整が想定以上に長引き、スケジュールを圧迫した,"ガバナンス,合意形成",P191,2026-01-18,低
KN0020,PJ006,Issue,[Power BIによる経営ダッシュボード整備] 権限設計を後回しにした結果、検証環境を作り直すことになった,権限設計を後回しにした結果、検証環境を作り直すことになった,"セキュリティ,Fabric,権限",P073,2026-01-16,低
KN0021,PJ006,BestPractice,[Power BIによる経営ダッシュボード整備] Fabricの容量は後から効いてくるため、監視の仕組みを最初に用意しておく,Fabricの容量は後から効いてくるため、監視の仕組みを最初に用意しておく,"Fabric,運用,容量",P065,2025-12-26,高
KN0022,PJ007,LessonsLearned,[設備保全予知モデルのPoC] PoCから本番移行時にデータ品質要件を再定義する必要があった,PoCから本番移行時にデータ品質要件を再定義する必要があった,"データ品質,PoC,移行",P003,2025-11-11,中
KN0023,PJ007,BestPractice,[設備保全予知モデルのPoC] 出力の良し悪しを判断する基準を顧客と合意し、受入条件に落としておく,出力の良し悪しを判断する基準を顧客と合意し、受入条件に落としておく,"生成AI,受入,品質",P167,2025-12-18,高
KN0024,PJ007,LessonsLearned,[設備保全予知モデルのPoC] 略語や社内用語の揺れを吸収できず、検索が期待したとおりに当たらなかった,略語や社内用語の揺れを吸収できず、検索が期待したとおりに当たらなかった,"生成AI,製造,用語",P160,2026-02-22,高
KN0025,PJ007,LessonsLearned,[設備保全予知モデルのPoC] 顧客側データオーナーの合意形成に想定の2倍の期間を要した,顧客側データオーナーの合意形成に想定の2倍の期間を要した,"ガバナンス,合意形成",P003,2025-11-09,高
KN0026,PJ008,Issue,[SCM可視化基盤の刷新] レイクハウスの権限設計を後追いで実施し、検証環境の再構築が発生した,レイクハウスの権限設計を後追いで実施し、検証環境の再構築が発生した,"セキュリティ,Fabric,権限",P062,2023-11-24,高
KN0027,PJ008,BestPractice,[SCM可視化基盤の刷新] 利用ガイドラインを部門ごとに用意したほうが、現場での定着は早い,利用ガイドラインを部門ごとに用意したほうが、現場での定着は早い,"生成AI,展開,定着",P121,2023-10-17,高
KN0028,PJ008,LessonsLearned,[SCM可視化基盤の刷新] 現場用語の辞書整備が後手に回り、ナレッジ検索の精度が目標に届かなかった,現場用語の辞書整備が後手に回り、ナレッジ検索の精度が目標に届かなかった,"生成AI,製造,用語",P063,2023-11-25,中
KN0029,PJ009,Issue,[勘定系周辺システムのモダナイゼーション] 権限設計を後回しにした結果、検証環境を作り直すことになった,権限設計を後回しにした結果、検証環境を作り直すことになった,"セキュリティ,Fabric,権限",P082,2026-01-13,中
KN0030,PJ009,BestPractice,[勘定系周辺システムのモダナイゼーション] RAGの前処理とチャンク設計は、要件定義の段階で検証しておくと後の手戻りが少ない,RAGの前処理とチャンク設計は、要件定義の段階で検証しておくと後の手戻りが少ない,"RAG,生成AI,設計",P097,2026-03-20,中
KN0031,PJ009,LessonsLearned,[勘定系周辺システムのモダナイゼーション] PoCの段階では見えなかったデータ品質の問題が、本番移行時に噴出した,PoCの段階では見えなかったデータ品質の問題が、本番移行時に噴出した,"データ品質,PoC,移行",P174,2026-05-11,高
KN0032,PJ009,BestPractice,[勘定系周辺システムのモダナイゼーション] ワークスペースはドメイン単位で分け、容量の監視は導入初期から仕込んでおくとよい,ワークスペースはドメイン単位で分け、容量の監視は導入初期から仕込んでおくとよい,"Fabric,運用,容量",P179,2026-02-06,中
KN0033,PJ010,BestPractice,[データガバナンス整備とPurview導入] ドメインごとにワークスペースを分離しておくと、容量の管理が現実的になる,ドメインごとにワークスペースを分離しておくと、容量の管理が現実的になる,"Fabric,運用,容量",P055,2025-05-17,高
