CustomerId,CustomerName,Industry,Region,AccountTier,PrimaryBusinessChallenge,AnnualITBudgetOkuJPY
CU01,北斗重工業株式会社,製造,関東,戦略顧客,生産データの分断と技能継承,120
CU02,大和精密工業株式会社,製造,中部,重点顧客,設備保全の属人化,80
CU03,常磐化成株式会社,製造,関東,一般顧客,品質データの分析基盤不足,45
CU04,みらいリテール株式会社,流通,関東,戦略顧客,需要予測精度と在庫最適化,95
CU05,山陽ストアーズ株式会社,流通,関西,重点顧客,店舗オペレーションの標準化,60
CU06,第一央和銀行,金融,関東,戦略顧客,勘定系刷新とデータ活用の両立,150
CU07,つばさ損害保険株式会社,金融,関東,重点顧客,査定業務の自動化,70
CU08,青葉市役所,公共,東北,一般顧客,住民サービスのデジタル化,40
CU09,九州エナジー株式会社,エネルギー,九州,重点顧客,設備投資判断の高度化,65
CU10,帝都物流株式会社,物流,関東,重点顧客,配車計画の最適化,55
CU11,新星ヘルスケア株式会社,ヘルスケア,関西,一般顧客,研究データの利活用,35
CU12,東海マテリアル株式会社,製造,中部,重点顧客,サプライチェーン可視化,75
CU13,浪速機械工業株式会社,製造,関西,重点顧客,生産計画の精度向上,68
CU14,信州電子工業株式会社,製造,中部,一般顧客,検査工程の自動化,38
CU15,陸奥製鋼株式会社,製造,東北,重点顧客,エネルギー原単位の削減,72
CU16,駿河フーズ株式会社,製造,中部,一般顧客,需給調整の属人化,30
CU17,湘南マート株式会社,流通,関東,一般顧客,販促効果の可視化,33
CU18,北都百貨店株式会社,流通,北海道,一般顧客,顧客データの分散,28
CU19,瀬戸内商事株式会社,流通,中国,重点顧客,調達コストの最適化,52
CU20,中央信託銀行,金融,関東,重点顧客,リスク管理の高度化,110
CU21,関西共栄信用金庫,金融,関西,一般顧客,営業店業務の効率化,42
CU22,あかつき証券株式会社,金融,関東,一般顧客,顧客提案の高度化,48
CU23,みなと生命保険株式会社,金融,関東,重点顧客,引受査定の標準化,85
CU25,浜名川県庁,公共,中部,重点顧客,行政データの連携基盤,58
CU26,みどり市役所,公共,関東,一般顧客,窓口業務のデジタル化,26
CU27,東西電力株式会社,エネルギー,関東,戦略顧客,設備保全の高度化,130
CU28,日本海ガス株式会社,エネルギー,北陸,一般顧客,保安業務の効率化,36
CU29,翼エアカーゴ株式会社,物流,関東,一般顧客,貨物需要の予測,31
CU30,さくら製薬株式会社,ヘルスケア,関東,重点顧客,治験データの統合,78
