ProjectId,ProjectName,CustomerId,SolutionDomain,ContractType,StartDate,EndDate,Status,RevenueJPY,CostJPY,MarginRate,DevelopmentMethod,PlatformType
PJ001,浪速機械工業様 生成AIによる技能継承ナレッジ検索基盤構築,CU13,AI,請負,2024-04-24,2024-11-03,完了,124070000,94789480,0.236,アジャイル,Azure/オンプレ混在
PJ002,青葉市役所様 Microsoft Fabricによる全社データ基盤構築,CU08,データ基盤,準委任,2025-03-31,2026-02-10,完了,280860000,212330160,0.244,ハイブリッド,Azure
PJ003,みらいリテール様 Databricksによる需要予測モデル開発,CU04,AI,ライセンス+SI,2024-11-13,2025-11-21,完了,290140000,258224600,0.11,ウォーターフォール,Azure
PJ004,信州電子工業様 生成AI活用による問い合わせ対応自動化,CU14,AI,準委任,2025-06-02,2026-03-09,完了,275850000,220955849,0.199,アジャイル,Azure
PJ005,湘南マート様 基幹システムのクラウドリフト,CU17,クラウド,請負,2024-09-26,2025-03-02,完了,416200000,330046600,0.207,ハイブリッド,Azure/オンプレ混在
PJ006,中央信託銀行様 Power BIによる経営ダッシュボード整備,CU20,BI,準委任,2025-03-29,2026-03-10,完了,240010000,175447310,0.269,ウォーターフォール,Azure/オンプレ混在
PJ007,陸奥製鋼様 設備保全予知モデルのPoC,CU15,AI,ライセンス+SI,2025-04-30,2026-03-07,完了,439530000,390302640,0.112,アジャイル,Azure
PJ008,みらいリテール様 SCM可視化基盤の刷新,CU04,データ基盤,準委任,2023-06-19,2024-01-01,完了,73670000,53558090,0.273,ハイブリッド,Azure/オンプレ混在
PJ009,あかつき証券様 勘定系周辺システムのモダナイゼーション,CU22,クラウド,請負,2025-05-27,2026-05-16,完了,420900000,341770800,0.188,ウォーターフォール,Azure
PJ010,常磐化成様 データガバナンス整備とPurview導入,CU03,ガバナンス,準委任,2024-11-14,2025-06-06,完了,186310000,125014010,0.329,アジャイル,Azure
PJ011,あかつき証券様 生成AIによる査定業務支援システム,CU22,AI,ライセンス+SI,2024-03-11,2024-09-29,完了,208950000,177189600,0.152,ハイブリッド,Azure
PJ012,浜名川県庁様 住民向けチャットボット構築,CU25,AI,準委任,2024-10-22,2025-06-12,完了,127680000,107251200,0.16,ウォーターフォール,Azure
PJ013,帝都物流様 配車計画最適化ソリューション導入,CU10,AI,請負,2024-05-26,2025-03-19,完了,301470000,257455380,0.146,アジャイル,Azure
PJ014,さくら製薬様 研究データ統合分析基盤の構築,CU30,データ基盤,準委任,2023-08-26,2024-06-16,完了,205070000,151751800,0.26,ハイブリッド,Azure/オンプレ混在
PJ015,山陽ストアーズ様 店舗オペレーション標準化支援,CU05,コンサル,ライセンス+SI,2025-02-18,2026-01-09,完了,294690000,200683890,0.319,ウォーターフォール,Azure
PJ016,大和精密工業様 品質データ分析基盤のPoC,CU02,データ基盤,準委任,2025-03-29,2025-12-04,完了,331050000,268150500,0.19,アジャイル,Azure
PJ017,東西電力様 エネルギー設備投資シミュレーション基盤,CU27,AI,請負,2024-02-26,2025-03-07,完了,70930000,53055640,0.252,ハイブリッド,Azure/オンプレ混在
PJ018,駿河フーズ様 生産管理システム再構築,CU16,基幹,準委任,2024-02-14,2024-08-21,完了,442680000,366981720,0.171,ウォーターフォール,Azure
PJ019,北斗重工業様 Copilot活用による営業提案高度化,CU01,AI,ライセンス+SI,2025-04-23,2025-12-10,完了,327020000,288431640,0.118,アジャイル,Azure/オンプレ混在
PJ020,みらいリテール様 サプライチェーンリスク分析基盤,CU04,データ基盤,準委任,2025-03-23,2025-08-30,完了,419810000,337947050,0.195,ハイブリッド,Azure
PJ021,北斗重工業様 生成AIプラットフォーム全社展開支援,CU01,AI,請負,2024-10-15,2025-10-26,完了,331400000,306876400,0.074,ウォーターフォール,Azure
PJ022,湘南マート様 販売分析データマート再構築,CU17,データ基盤,準委任,2024-07-11,2024-12-20,完了,125060000,91919100,0.265,アジャイル,Azure
PJ023,陸奥製鋼様 生成AIによる設計レビュー支援,CU15,AI,ライセンス+SI,2024-12-10,2025-07-19,完了,325520000,290363840,0.108,ハイブリッド,Azure/オンプレ混在
PJ024,駿河フーズ様 Fabricレイクハウス移行支援,CU16,データ基盤,準委任,2023-09-16,2024-09-05,完了,94550000,74789050,0.209,ウォーターフォール,Azure
PJ025,山陽ストアーズ様 需要予測基盤の本番展開,CU05,AI,請負,2024-04-10,2025-05-09,完了,426220000,370385180,0.131,アジャイル,Azure/オンプレ混在
PJ026,駿河フーズ様 生成AIによる保全ナレッジ検索,CU16,AI,準委任,2023-09-24,2024-05-30,完了,437690000,363720390,0.169,ハイブリッド,Azure/オンプレ混在
PJ027,みどり市役所様 顧客データ統合基盤の構築,CU26,データ基盤,ライセンス+SI,2024-05-29,2024-11-11,完了,398390000,350583200,0.12,ウォーターフォール,Azure
PJ028,翼エアカーゴ様 AIOps導入による運用高度化,CU29,クラウド,準委任,2024-09-16,2025-04-11,完了,365300000,282376900,0.227,アジャイル,Azure/オンプレ混在
PJ029,浜名川県庁様 生成AIによる文書点検自動化,CU25,AI,請負,2023-07-22,2024-06-03,完了,157640000,120279320,0.237,ハイブリッド,Azure
PJ030,つばさ損害保険様 経営管理データ基盤の刷新,CU07,データ基盤,準委任,2023-10-11,2024-05-22,完了,116070000,92972069,0.199,ウォーターフォール,Azure
PJ031,瀬戸内商事様 販売実績ダッシュボードの統合,CU19,BI,ライセンス+SI,2025-05-06,2025-10-30,完了,197760000,144562560,0.269,アジャイル,Azure
PJ032,大和精密工業様 原価管理レポートの標準化,CU02,BI,準委任,2025-03-11,2025-08-22,完了,329870000,245753150,0.255,ハイブリッド,Azure
PJ033,あかつき証券様 経営KPIの可視化基盤構築,CU22,BI,請負,2024-08-08,2025-05-15,完了,382110000,290403600,0.24,ウォーターフォール,Azure/オンプレ混在
PJ034,浜名川県庁様 データ利活用ポリシーの策定支援,CU25,ガバナンス,準委任,2024-02-27,2024-10-26,完了,94480000,62829200,0.335,アジャイル,Azure
PJ035,あかつき証券様 個人情報の取り扱い基準整備,CU22,ガバナンス,ライセンス+SI,2024-11-08,2025-08-06,完了,75520000,52637440,0.303,ハイブリッド,Azure/オンプレ混在
PJ036,みなと生命保険様 DX推進ロードマップの策定,CU23,コンサル,準委任,2024-01-19,2024-09-20,完了,363500000,259902500,0.285,ウォーターフォール,Azure/オンプレ混在
PJ037,湘南マート様 業務プロセス再設計の支援,CU17,コンサル,請負,2024-04-18,2025-02-11,完了,260300000,166592000,0.36,アジャイル,Azure
PJ038,東海マテリアル様 生産管理システムの刷新構想策定,CU12,基幹,準委任,2023-12-30,2024-12-21,完了,301770000,238700070,0.209,ハイブリッド,Azure
PJ039,北都百貨店様 販売管理システムのリプレース,CU18,基幹,ライセンス+SI,2025-01-11,2025-08-26,完了,148590000,117237510,0.211,ウォーターフォール,Azure
PJ040,大和精密工業様 生成AIによる技能継承ナレッジ検索基盤構築,CU02,AI,準委任,2025-11-19,2027-05-01,進行中,405460000,352344740,0.131,アジャイル,Azure
PJ041,九州エナジー様 Microsoft Fabricによる全社データ基盤構築,CU09,データ基盤,請負,2026-01-16,2027-05-10,進行中,323560000,266937000,0.175,ハイブリッド,Azure/オンプレ混在
PJ042,湘南マート様 Databricksによる需要予測モデル開発,CU17,AI,準委任,2026-02-24,2027-06-01,進行中,343300000,306910200,0.106,ウォーターフォール,Azure
PJ043,陸奥製鋼様 生成AI活用による問い合わせ対応自動化,CU15,AI,ライセンス+SI,2026-02-16,2027-06-09,進行中,82260000,66712859,0.189,アジャイル,Azure
PJ044,北都百貨店様 基幹システムのクラウドリフト,CU18,クラウド,準委任,2025-11-16,2027-03-24,進行中,107260000,73151320,0.318,ハイブリッド,Azure/オンプレ混在
PJ045,関西共栄信用金庫様 Power BIによる経営ダッシュボード整備,CU21,BI,請負,2026-01-01,2026-12-05,進行中,80730000,54089099,0.33,ウォーターフォール,Azure
PJ046,東海マテリアル様 設備保全予知モデルのPoC,CU12,AI,準委任,2026-01-16,2027-06-30,進行中,439320000,378693840,0.138,アジャイル,Azure/オンプレ混在
PJ047,湘南マート様 SCM可視化基盤の刷新,CU17,データ基盤,ライセンス+SI,2026-04-11,2027-02-12,進行中,425050000,356191900,0.162,ハイブリッド,Azure
PJ048,つばさ損害保険様 勘定系周辺システムのモダナイゼーション,CU07,クラウド,準委任,2025-11-08,2027-05-17,進行中,443000000,358387000,0.191,ウォーターフォール,Azure
PJ049,みらいリテール様 データガバナンス整備とPurview導入,CU04,ガバナンス,請負,2026-06-20,2027-05-09,進行中,429930000,326316870,0.241,アジャイル,Azure
PJ050,つばさ損害保険様 生成AIによる査定業務支援システム,CU07,AI,準委任,2026-01-02,2027-04-25,進行中,67700000,54024600,0.202,ハイブリッド,Azure
PJ051,浜名川県庁様 住民向けチャットボット構築,CU25,AI,ライセンス+SI,2026-06-18,2026-12-25,進行中,201330000,180995670,0.101,ウォーターフォール,Azure
PJ052,翼エアカーゴ様 配車計画最適化ソリューション導入,CU29,AI,準委任,2026-01-12,2026-12-02,進行中,258850000,209409649,0.191,アジャイル,Azure
PJ053,新星ヘルスケア様 研究データ統合分析基盤の構築,CU11,データ基盤,請負,2026-01-16,2026-11-09,進行中,50170000,35921720,0.284,ハイブリッド,Azure
PJ054,北都百貨店様 店舗オペレーション標準化支援,CU18,コンサル,準委任,2025-10-25,2027-01-09,進行中,261110000,170765940,0.346,ウォーターフォール,Azure/オンプレ混在
